Date,Close,Adj Close,Volume,DGS10,VIXCLS
2021-01-28,130.11,113.48,"13,761,800",1.07,30.21
2021-01-29,128.67,112.23,"14,808,100",1.11,33.09
2021-02-01,129.62,113.06,"11,080,700",1.09,30.24
2021-02-02,133.61,116.54,"12,253,600",1.12,25.56
2021-02-03,135.14,117.87,"10,600,800",1.15,22.91
2021-02-04,138.25,120.58,"12,419,500",1.15,21.77
2021-02-05,137.98,120.35,"10,051,300",1.19,20.87
2021-02-08,140.14,122.23,"10,136,400",1.19,21.24
2021-02-09,139.58,121.74,"8,614,800",1.18,21.63
2021-02-10,139.66,121.81,"10,323,200",1.15,21.99
2021-02-11,139.27,121.47,"9,201,000",1.16,21.25
2021-02-12,141.25,123.2,"8,324,600",1.2,19.97
2021-02-16,144.65,126.17,"12,130,600",1.3,21.46
2021-02-17,145.1,126.56,"10,810,100",1.29,21.5
2021-02-18,145.59,126.99,"10,587,800",1.29,22.49
2021-02-19,148.02,129.11,"11,969,800",1.34,22.05
2021-02-22,149.41,130.32,"11,488,400",1.37,23.45
2021-02-23,150.61,131.36,"16,234,400",1.37,23.11
2021-02-24,153.26,133.68,"15,061,400",1.38,21.34
2021-02-25,151.18,131.86,"18,127,700",1.54,28.89
2021-02-26,147.17,128.36,"19,829,200",1.44,27.95
2021-03-01,150.5,131.27,"14,845,500",1.45,23.35
2021-03-02,150.01,130.84,"14,221,700",1.42,24.1
2021-03-03,152.91,133.37,"14,324,100",1.47,26.67
2021-03-04,150.56,131.32,"20,093,900",1.54,28.57
2021-03-05,150.91,131.63,"18,465,100",1.56,24.66
2021-03-08,152.91,133.37,"17,133,300",1.59,25.47
2021-03-09,151.83,132.43,"16,238,800",1.55,24.03
2021-03-10,155.13,135.31,"14,342,200",1.53,22.56
2021-03-11,154.32,134.6,"11,771,500",1.54,21.91
2021-03-12,156.15,136.2,"12,849,500",1.64,20.69
2021-03-15,155.37,135.52,"12,101,100",1.62,20.03
2021-03-16,153.51,133.89,"12,805,600",1.62,19.79
2021-03-17,155.09,135.27,"13,952,400",1.63,19.23
2021-03-18,157.65,137.5,"21,898,500",1.71,21.58
2021-03-19,155.14,135.32,"54,418,800",1.74,20.95
2021-03-22,150.97,131.68,"19,944,800",1.69,18.88
2021-03-23,149.46,130.36,"17,076,300",1.63,20.3
2021-03-24,150.62,131.37,"13,079,800",1.62,21.2
2021-03-25,152.55,133.06,"15,608,300",1.63,19.81
2021-03-26,155.09,135.27,"16,754,400",1.67,18.86
2021-03-29,152.68,133.17,"17,570,300",1.73,20.74
2021-03-30,154.48,134.74,"13,184,300",1.73,19.61
